AI Shopping Mall,Nupur Tyagi™,Nice ,Nice pics 
,"Its switch off!!!
The Man Company
@themancompany
·
Apr 4
Replying to 
@Sahil09Aggarwal
 and 
@amitg11
Hi Sahil, as per your phone conversation with our representative, we hope that your concern has been addressed.
Nisarg
@Nisarg2021
·
Apr 4
Replying to 
@themancompany
 and 
@Bhuvan_Bam
I did not receive any email from you
The Man Company
@themancompany
·
Apr 4
Replying to 
@Nisarg2021
 and 
@Bhuvan_Bam
Hi Nisarg, we tried contacting you, but the call went unanswered. Kindly DM us a suitable time to reach out to you, and resolve your concern at the earliest.
",,
,"Wow you guys are so super bad yesterday the entire day you guys didn't bother to reply now that the order is delivered now you are responding shame on u
The Man Company
@themancompany
·
Apr 4
Replying to 
@VIPER76542714
Hi Koushik, as per your phone conversation  with our representative, we hope that the concern has been resolved.
The Man Company
@themancompany
·
Apr 4
Replying to 
@VIPER76542714
Hi Koushik, as per your phone conversation  with our representative, we hope that the concern has been resolved.
",,
,"Hi Koushik, as per your phone conversation  with our representative, we hope that the concern has been resolved.
The Man Company
@themancompany
·
Apr 4
Replying to 
@VIPER76542714
Hi Koushik, as per your phone conversation  with our representative, we hope that the concern has been resolved.
The Man Company
@themancompany
·
Apr 4
Replying to 
@amitg11
Hi Amit, per our records, your order has been successfully delivered. Further, please provide confirmation regarding the same.
",,
,"Hi Amit, as per our records your order has been successfully delivered to you. Further, please provide confirmation regarding the same.
The Man Company
@themancompany
·
Apr 4
Replying to 
@amitg11
Hi Amit, as per our records your order has been successfully delivered to you. Further, please provide confirmation regarding the same.
Sahil Aggarwal
@Sahil09Aggarwal
·
Apr 4
Replying to 
@themancompany
 and 
@amitg11
@themancompany
 nobody needs your apologies we only need our products that we have ordered from your website or app, which you are unable to deliver on time and moreover your customer care is pathetic. 
Order id : 1684299
Please check about this order.
",,
,"I tried reaching you on the customer care number it got disconnected after keeping me on line for 10 minutes and then said everyone is busy, moreover your email is pathetic because no response comes after that. 
When you guys can't deliver on time then why you accept orders.
Sahil Aggarwal
@Sahil09Aggarwal
·
Apr 4
Replying to 
@themancompany
 and 
@Bhuvan_Bam
Placed the order on 29th march and still didn't receive it. Also after placing the order I received one mail stating that it's been confirmed and after that nothing so basically I don't know now what exactly is going on. 
Order Id: 1684299
Sahil Aggarwal
@Sahil09Aggarwal
·
Apr 4
Replying to 
@Nisarg2021
 
@Bhuvan__Rani
 and 2 others
You can either try to mail them or call them on a different number 
E-mail: care@themancompany.com
Phone no: 9667031212

Give it a try maybe it helps👍",,
,"@themancompany
  disappointment from you!,
unresponsive team
Aayush jha
@Aayushj62700775
·
Apr 4
@themancompany
  why the hell you are not shipping my order you idiots.
subham khatri
@skhatri005
·
Apr 3
@themancompany
 i have ordered an item on 30.03.2023 and delivery expected 02.04.2023 but the order is not yet delivered.order no is 1685684. please deliver the same ASAP.
Nisarg
@Nisarg2021
·
Apr 3
Replying to 
@themancompany
 
@Bhuvan__Rani
 and 
@Bhuvan_Bam
I am done waiting.
Just cancel the order and give me refund.
#scammer #Cheaters",,
,"We sincerely apologise for the hassle you have gone through. This is certainly not the kind experience we wished you to have. We are presently working on your concern and will reach out to within tomorrow end of the day.
amit g
@amitg11
·
Apr 3
@themancompany
 what nonsense i called customer care today morning 25mins on hold i thought of giving call after 5 now ot says the office are closed due to holiday if it was a holiday why i was able to call in the morning weird bad worst experience ever
amit g
@amitg11
·
Apr 3
@themancompany
 still no response sent around 7 email not even bother to reply to my emails no calls nothing not even trying to solve the issue just keeping me on hold and wasting my time all they are doing is sending system generated emails",,
,"Whenever I call on this number its always switch off.
What is the point of customercare number?
#scamming #SCAM
Nisarg
@Nisarg2021
·
Apr 3
Replying to 
@VIPER76542714
 
@themancompany
 and 
@Bhuvan_Bam
Great way of taking money from people is first take the order then dont give delivery and tell them that product is out of stock and also not camcelling the order.
@themancompany
 
@Bhuvan_Bam
 #ScamAlert #SCAM #fruad #perfum #crime
Viper
@VIPER76542714
·
Apr 3
Replying to 
@themancompany
 and 
@Bhuvan_Bam
@themancompany
 is doing #SCAM
",,
,"Another #fruad done by 
@themancompany
 
@Bhuvan_Bam
Quote Tweet
Viper
@VIPER76542714
·
Apr 3
Replying to @themancompany and @Bhuvan_Bam
Shipping soon from 30 th March,
Nisarg
@Nisarg2021
·
Apr 3
Replying to 
@VIPER76542714
 
@themancompany
 and 
@Bhuvan_Bam
There is a scam going on by The man company.
They are taking money but no giving products.
Aslo they are not answering over email or whatsapp.
Spread the word 
@themancompany
  is doing #SCAM .
Nisarg
@Nisarg2021
·
Apr 3
Replying to 
@themancompany
 and 
@Bhuvan_Bam
Have you looked into it yet or you are just sleeping???
#scammer 
Give me my money back.
",,
,"Shipping soon from 30 th March,
Viper
@VIPER76542714
·
Apr 3
Replying to 
@themancompany
 and 
@Bhuvan_Bam
Order id - 1685870
I ordered two products on 30th March today is 3rd April and it still showing shipping soon. I tried to reach you on WhatsApp but they don't give a single response. So do something or refund my money.
Viper
@VIPER76542714
·
Apr 3
@themancompany
 
Order id - 1685870
I ordered two products on 30th March today is 3rd April and it still showing shipping soon. I tried to reach you on WhatsApp but they don't give a single response. So do something or refund my money
",,
,"Why still no call has been arranged what is going on why the delivery is not yet done are you guys doing anything or not or should i move to make a complaint in consumer forum
amit g
@amitg11
·
Apr 3
Replying to 
@themancompany
Just tell me when i will get ky order and why in the name of god you have not arranged a call back yet what is wrong with u why you guys are running away from your responsibility and why you guys are so super lazy and just buying time dats it not doing anything at all to solve
amit g
@amitg11
·
Apr 3
Replying to 
@themancompany
I need TAT i don't want any fake promises just tell me when i will get my order this is so frustrating u delay the order by week and now even the delivery is delayed do u understand how frustrated i am with the kind of response and solution u give i don't see u do anything",,
,"Hi there, your order has been shipped, further, we are arranging an urgent delivery for your order.
The Man Company
@themancompany
·
Apr 3
Replying to 
@Samsa143
Hi there, kindly DM us your contact details, so that we can resolve your concern at the earliest.
The Man Company
@themancompany
·
Apr 3
Replying to 
@Ancient__Rider
Hi there, as per your request, we have updated your said address provided.",,
,"Its out for delivery since 30 hours really? 30 hours still no signs of delivery guy not called me once not even bother to deliver and what you guys are doing to deliver it Nothing yes do something and ask him to deliver asap its out roe delivery since 30 hours do you understand
The Man Company
@themancompany
·
Apr 3
Replying to 
@Samsa143
 
@Paytm
 and 
@Truecaller
Hi there, kindly DM us your contact details, so that we can resolve your concern at the earliest.
The Man Company
@themancompany
·
Apr 3
Replying to 
@MdAdnan0101
Hi there, as per your word with our representative, we hope that concern has been resolved.
",,
,"@themancompany
 sent 3 emails and they are not even bothered to respond and just running away from the responsibility such a worst way of doing the business this is how you treat customers by ignoring emails not even giving a single call not even trying to solve the issues?
Nisarg
@Nisarg2021
·
Apr 3
Replying to 
@themancompany
 and 
@Bhuvan_Bam
Why is there no option of cancellation?
Cancel my order
Sharma
@Ancient__Rider
·
Apr 3
Replying to 
@themancompany
Address shared, can you please confirm if this has been updated?
",,
,"@themancompany
 all they are doing is just buying the time lying all the time the order was delayed for more than a week now even the delivery is delayed as well they give such stupid excuse of supply issue instead of working on their issues they make customers suffering
amit g
@amitg11
·
Apr 3
@themancompany
 i have sent around 5 emails still they are so shameless that they don't bother to respond to my emails i was supposed to get the order yesterday its still out for delivery since yesterday and customer care is worst they have no idea what to do here.
Md Adnan
@MdAdnan0101
·
Apr 3
Replying to 
@themancompany
 and 
@Bhuvan_Bam
Spend some money on your logistics department..it's been 8 days and still i haven't received my order.",,
,"@themancompany
  order I'd - 1681372
The Edp was missing from my order so you agreed to deliver the missing order on priority. I received the order confirmation on 27th March . It's been 8 days still you have not even shipped the item. You didn't answer on WhatsApp as well
Show this thread
El-Gee
@vichitrabhava
·
Apr 2
Replying to 
@hearttstopped
@themancompany
 came to the rescue, ngl!
The Man Company
@themancompany
·
Apr 2
Replying to 
@Nisarg2021
 and 
@Bhuvan_Bam
Hi there, we are extremely sorry about this experience, while such incidents are very rare at The Man Company. Further, kindly allow us a stipulated time, our team will certainly reach out to you at the earliest.
The Man Company
@themancompany
·
Apr 2
Replying to 
@Nisarg2021
 and 
@Bhuvan_Bam
Hi there, we are extremely sorry about this experience, while such incidents are very rare at The Man Company. Further, kindly allow us a stipulated time, our team will certainly reach out to you at the earliest.
",,
,"Hi there, we can certainly your address for you. Kindly DM us the address and you wish your order to.
The Man Company
@themancompany
·
Apr 2
Replying to 
@Samsa143
 and 
@Paytm
Hi there, please DM us your contact details, so that our team can reach out to you, and resolve your concern at the earliest.
The Man Company
@themancompany
·
Apr 2
Replying to 
@Nisarg2021
 
@SatyendraRajan7
 and 
@Bhuvan_Bam
We are extremely sorry for any inconvenience this has caused. This is definitely not the kind of experience we wanted you to have. Your concern has been escalated on a high priority. We request you to allow us 24 hours to resolve  your concern.
",,
,"You aren't even replying here...
Nisarg
@Nisarg2021
·
Apr 2
Replying to 
@themancompany
 and 
@Bhuvan_Bam
Its been already 7 days how much more time do you need?
The Man Company
@themancompany
·
Apr 2
Replying to 
@Nisarg2021
 and 
@Bhuvan_Bam
We sincerely apologise for the inconvenience caused. Our team is looking into your issue. Please be assured your concern will be resolved, therefore please allow us time till tomorrow and we will get back to you.
Nisarg
@Nisarg2021
·
Apr 2
Replying to 
@themancompany
 and 
@Bhuvan_Bam
What does soon mean here?
Can you clerify?
I think it means Scam.
Right!",,
,"
The Man Company
@themancompany
·
Apr 1
Replying to 
@rahul72485kuma
Hi Rahul, as per your phone conversation with our representative, we hope that the concern has been resolved.
Bunny
@bugssbunny1510
·
Apr 1
I placed 4 orders on 
26,27,29 march respectively.
Order ID - 
1679714
1681356
1683426
 1683447

None of them is being shipped yet.

It's been 5 days from the first order.
4 from the second order
and 3 days from the final order
No shipping done .
What's going on?
@themancompany
Rahul Agarwal
@rahul2008
·
Apr 1
Replying to 
@themancompany
 
@bookmyshow
 and 3 others
Thanks a lot 
@themancompany
 appreciate your quick support on this
Kashmir Town
@kashmir_town
·
Apr 1
Replying to 
@themancompany
it's still not dispatched yet.....
The Man Company
@themancompany
·
Apr 1
Replying to 
@kashmir_town
Hi Abrar, as per your phone conversation with our representative, we hope that the concern has been addressed.
The Man Company
@themancompany
·
Apr 1
Replying to 
@Ankitsi74685898
Hi Ankit, as per your phone conversation with our representative, we hope that your concern has been addressed.
The Man Company
@themancompany
·
Apr 1
Replying to 
@rahul2008
 
@bookmyshow
 and 3 others
Hi Rahul, as per your phone conversation with our representative, we hope that your concern has been resolved.
Gaurav Suri
@gawruv
·
Apr 1
Replying to 
@themancompany
The issue was for you to address . Phone call was to placate and do a tick mark . There were no answers except a manager calling instead of a executive
Kashmir Town
@kashmir_town
·
Apr 1
it has been 7 days but order not dispatched yet....

order id : 1676665
@themancompany",,
,"
The Man Company
@themancompany
·
Mar 30
Replying to 
@uknowwho_5
Hi there, we tried reaching out to you, but the call went unanswered. Kindly DM us a suitable time to reach out to you on a priority.
The Man Company
@themancompany
·
Mar 30
Replying to 
@SatyendraRajan7
We are sorry you did not receive your order as promptly as you expected. We experienced an unusually large number of orders, which disrupted our normal delivery schedule. Again, we apologize for any inconvenience caused and look forward to filling your future orders on priority.
The Man Company
@themancompany
·
Mar 30
Replying to 
@hsinha2611
We are sorry you did not receive your order as promptly as you expected. We experienced an unusually large number of orders, which disrupted our normal delivery schedule. Kindly DM us your contact details, so that we can reach out to you, on a priority.
The Man Company
@themancompany
·
Mar 30
Replying to 
@amitg11
We are sorry you did not receive your order as promptly as you expected. We experienced an unusually large number of orders, which disrupted our normal delivery schedule. Again, we apologize for any inconvenience caused and look forward to filling your future orders on priority.
The Man Company
@themancompany
·
Mar 30
Replying to 
@Longiabss
Hi Bhupinder, we tried reaching out to you. But the call went unanswered. Kindly DM us a suitable time, so that we can reach out to you on a priority.
The Man Company
@themancompany
·
Mar 30
Replying to 
@uknowwho_5
We are working round the clock, to make sure, your order is dispatched and delivered as soon as possible.
Sagar Pohani
@uknowwho_5
·
Mar 30
Replying to 
@themancompany
@themancompany
 i wnt my order asap do it anyway i dont know     If i dont get my order dispatched i am going to do legal actions    How shitty our backend delivery team   Cant dispatch the products in 8 days.
Sagar Pohani
@uknowwho_5
·
Mar 30
Replying to 
@themancompany
But when  its been more than a week now
The Man Company
@themancompany
·
Mar 30
Replying to 
@uknowwho_5
We are sorry you did not receive your order as promptly as you expected. We experienced an unusually large number of orders, which disrupted our normal delivery schedule. Again, we apologize for any inconvenience caused and look forward to filling your future orders on priority.
The Man Company
@themancompany
·
Mar 30
Replying to 
@uknowwho_5
We are sorry you did not receive your order as promptly as you expected. We experienced an unusually large number of orders, which disrupted our normal delivery schedule. Again, we apologize for any inconvenience caused and look forward to filling your future orders on priority.
Satyendra Bharti
@SatyendraRajan7
·
Mar 30
@themancompany
 My order was placed 6 days ago and it is not shipped yet ?
there is no option for cancellation..
It seems I got trapped in your service..

It would be better if you spend your expenses on costumer service first rather than spending on advertisement.
",,
,"
The Man Company
@themancompany
·
Mar 22
Replying to 
@MdAdnan0101
Hi there, we have already notified our courier partner to make the update on the tracking page as well. We are doing everything at our end, to make your experience better with us.
Md Adnan
@MdAdnan0101
·
Mar 22
Replying to 
@themancompany
It's showing the shipment is not ready. It was you who promised to ship it by yesterday. You haven't fulfilled your promise. It's been 5 days still the product is not ready to be shipped. I'll request you to refund my money if you can't ship it by today. Thank you.
The Man Company
@themancompany
·
Mar 22
Replying to 
@shivamawasthi3
As per your phone conversation with our representative, we hope that your concern has been addressed and resolved.
The Man Company
@themancompany
·
Mar 22
Replying to 
@MdAdnan0101
Hi There, our team is working on the order. Also, your order's Airway Bill Number has already been generated. Please be assured, your order will reach you very soon. Thank you for your patience, and understanding.
Md Adnan
@MdAdnan0101
·
Mar 22
Replying to 
@MdAdnan0101
 and 
@themancompany
You didn't ship the product yesterday as promised. Why?
shivam awasthi
@shivamawasthi3
·
Mar 22
Replying to 
@themancompany
You guys can call me anytime today
The Man Company
@themancompany
·
Mar 21
Replying to 
@shivamawasthi3
Hi there, we tried calling you again, but the call went unanswered. Please let us know a suitable time to reach out to you.
The Man Company
@themancompany
·
Mar 21
Do men apply perfumes only to attract women? #WeNeedToTalk, and we will, with Ankush Bahuguna and Abhinav Mathur. Stay Tuned. 

#TheManCompany #GentlemanInYou #TheGentlemanShow #Podcast #Fragrance #InternationalFragranceDay
0:02 / 0:17
shivam awasthi
@shivamawasthi3
·
Mar 21
Replying to 
@themancompany
When the hell did u called me??? I haven't got any call from ur side the man company 
@themancompany
The Man Company
@themancompany
·
Mar 21
This #InternationalFragranceDay, feel the #ScentOfAGentleman.

#TheManCompany #GentlemanInYou #Fragrance #Scent
",,
,"
The Man Company
@themancompany
·
Mar 20
Replying to 
@KiNG_Vaishnav_7
Thank you for the update. Our team will be in touch, as per your time stated.
King vaishnav 007
@KiNG_Vaishnav_7
·
Mar 20
Replying to 
@themancompany
Tomorrow 1Pm
The Man Company
@themancompany
·
Mar 20
Grooming is our Happy Place. 😄

Tell us in the comments below what HAPPINESS means to you.

#internationalhappinessday #TheManCompany #GentlemanInYou #Happiness #Viral #Trending #topicalday #Happy #InternationalDayOfHappiness
The Man Company
@themancompany
·
Mar 20
Replying to 
@KiNG_Vaishnav_7
Our team tried contacting you, but the call went unanswered. Kindly DM us a suitable time, so that we can resolve your concern at the earliest.
The Man Company
@themancompany
·
Mar 20
Replying to 
@MdAdnan0101
As per your phone conversation with our representative, we hope that your concern is addressed and resolved.
The Man Company
@themancompany
·
Mar 20
Replying to 
@krish16maj
As per your phone conversation with our representative, we hope that your concern has been addressed and resolved.
Md Adnan
@MdAdnan0101
·
Mar 19
Replying to 
@themancompany
Till now I haven't received any updates. If u can't fulfill my order then please refund the money. Just fake promotions and promises aren't enough. How can you take 3 days just to start the shipping process. There's a huge loop hole in ur logistics department.
The Man Company
@themancompany
·
Mar 19
Replying to 
@MdAdnan0101
We really apologize for the delay and trouble. Our team is working on your concern and will connect with you soon with an update. Thank you for your patience and understanding.
The Man Company
@themancompany
·
Mar 19
Replying to 
@krish16maj
We really apologize for the delay and trouble. Our team is working on your concern and will connect with you soon with an update. Thank you for your patience and understanding.
HARSH KALE
@Harsh88450076
·
Mar 19
Replying to 
@themancompany
Yes, I got the answer. 
Thanks for the response.
Md Adnan
@MdAdnan0101
·
Mar 19
@themancompany
 My order number -
 1668798. It's been 2 days but still the order isn't dispatched. I've already paid for the products online. I've seen a lot of reviews saying that you don't deliver the producta and cancel at the last moment or there's something missing.
",,
,"
Deadpool
@Deadpool161820
·
Mar 15
Is there any possibility for my package to be delivered? Because, it's been more than a week that it has reached a delivery facility near me and there's no moment thereon. 
Cancel my order 
@themancompany
 
@delhivery
 
@help_delhivery
Show this thread
The Man Company
@themancompany
·
Mar 14
Replying to 
@ydav_sahil
Hi there, thank you for reaching out to us. Kindly DM us your contact details, so that we may assist you at the earliest.
www.tgdeals.in
@tgdealsofficial
·
Mar 13
TheManCompany : EDT Spice at ₹399 (70% Off)

Use Code : FLASH3

https://linksredirect.com/?cid=53412&source=linkkit&url=https%3A%2F%2Fwww.themancompany.com%2Fproducts%2Fspice

PC : Other Sites at ₹ 909+
www.tgdeals.in
@tgdeals_
·
Mar 13
TheManCompany : EDT Spice at ₹399 (70% Off)

Use Code : FLASH3

https://linksredirect.com/?cid=53412&source=linkkit&url=https%3A%2F%2Fwww.themancompany.com%2Fproducts%2Fspice

PC : Other Sites at ₹ 909+",,
